# FRI-06 C08 retained terminal diagnostic census
# report_sha256=69d6dc3764e0f119fcba3f6608bc51664d886f6279d18fdf23ac2b7f372e2ff4
# activation_union_sha256=3a0f78a7fdefc9f49feee9f0fcb5a035bc87f381f8fc8d96049eaa0cdcbc2eb1
family	source	variant	result	category	representative_error
FRI-06.11 new source	html/block/fri06_inline_unequal_line_alignment.html	content_box_rtl	FAIL	artifact.atomic_marker_on_blockified_non_atomic	fri06_inline_unequal_line_alignment__content_box_rtl: layout failed: LayoutErrorOf { site: Node(2), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
FRI-06.11 new source	html/block/fri06_vertical_break_clear.html	border_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/block/fri06_vertical_break_clear.html	border_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/block/fri06_vertical_break_clear.html	content_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/block/fri06_vertical_break_clear.html	content_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_auto_height.html	border_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_auto_height.html	border_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_auto_height.html	content_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_auto_height.html	content_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_bfc_avoidance.html	border_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_bfc_avoidance.html	border_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_bfc_avoidance.html	content_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_bfc_avoidance.html	content_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_line_exclusion.html	border_box_ltr	FAIL	production.float_line_final_height_rounding	fri06_float_line_exclusion__border_box_ltr: height mismatch, expected 63, got 62
FRI-06.11 new source	html/float/fri06_float_line_exclusion.html	border_box_rtl	FAIL	production.float_line_final_height_rounding	fri06_float_line_exclusion__border_box_rtl: height mismatch, expected 63, got 62
FRI-06.11 new source	html/float/fri06_float_line_exclusion.html	content_box_ltr	FAIL	production.float_line_final_height_rounding	fri06_float_line_exclusion__content_box_ltr: height mismatch, expected 63, got 62
FRI-06.11 new source	html/float/fri06_float_line_exclusion.html	content_box_rtl	FAIL	production.float_line_final_height_rounding	fri06_float_line_exclusion__content_box_rtl: height mismatch, expected 63, got 62
FRI-06.11 new source	html/float/fri06_float_logical_clear.html	border_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_logical_clear.html	border_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_logical_clear.html	content_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_logical_clear.html	content_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_shape_exclusion.html	border_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_shape_exclusion.html	border_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_shape_exclusion.html	content_box_ltr	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
FRI-06.11 new source	html/float/fri06_float_shape_exclusion.html	content_box_rtl	FAIL	later_owned.flow_root_display_normalization	unsupported display `flow-root`
Unsupported mixed text/element content	html/grid-lanes/grid_lanes_not_inhibited_normal_packing.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/grid-lanes/grid_lanes_not_inhibited_normal_packing.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	grid_lanes_not_inhibited_normal_packing__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/grid-lanes/grid_lanes_not_inhibited_normal_packing.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/grid-lanes/grid_lanes_not_inhibited_normal_packing.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	grid_lanes_not_inhibited_normal_packing__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/grid-lanes/grid_lanes_not_inhibited_overflow_hidden_packing.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/grid-lanes/grid_lanes_not_inhibited_overflow_hidden_packing.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	grid_lanes_not_inhibited_overflow_hidden_packing__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/grid-lanes/grid_lanes_not_inhibited_overflow_hidden_packing.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/grid-lanes/grid_lanes_not_inhibited_overflow_hidden_packing.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	grid_lanes_not_inhibited_overflow_hidden_packing__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_baseline_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_baseline_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_baseline_baseline_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_baseline_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_baseline_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_baseline_baseline_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_center_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_center_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_baseline_center_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_center_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_center_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_baseline_center_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_end_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_end_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_baseline_end_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_end_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_end_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_baseline_end_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_start_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_start_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_baseline_start_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_start_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_baseline_start_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_baseline_start_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_baseline_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_baseline_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_center_baseline_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_baseline_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_baseline_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_center_baseline_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_center_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_center_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_center_center_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_center_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_center_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_center_center_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_end_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_end_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_center_end_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_end_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_end_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_center_end_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_start_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_start_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_center_start_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_start_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_center_start_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_center_start_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_baseline_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_baseline_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_end_baseline_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_baseline_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_baseline_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_end_baseline_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_center_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_center_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_end_center_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_center_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_center_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_end_center_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_end_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_end_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_end_end_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_end_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_end_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_end_end_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_start_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_start_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_end_start_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_start_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_end_start_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_end_start_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_baseline_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_baseline_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_start_baseline_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_baseline_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_baseline_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_start_baseline_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_center_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_center_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_start_center_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_center_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_center_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_start_center_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_end_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_end_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_start_end_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_end_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_end_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_start_end_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_start_item.html	border_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_start_item.html	border_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_start_start_item__border_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_start_item.html	content_box_ltr	PASS	pass	-
Unsupported mixed text/element content	html/subgrid/subgrid_alignment_start_start_item.html	content_box_rtl	FAIL	identity.helper_source_order_as_visual_order	subgrid_alignment_start_start_item__content_box_rtl/1: Range ink[0] visual index mismatch, expected 1, got 5
Unsupported mixed text/element content	html/subgrid/subgrid_auto_track_sizing_min_content_text_runs.html	border_box_ltr	FAIL	artifact.box_children_replace_required_shaped_text	subgrid_auto_track_sizing_min_content_text_runs__border_box_ltr/0: height mismatch, expected 25, got 100
Unsupported mixed text/element content	html/subgrid/subgrid_auto_track_sizing_min_content_text_runs.html	border_box_rtl	FAIL	artifact.box_children_replace_required_shaped_text	subgrid_auto_track_sizing_min_content_text_runs__border_box_rtl/0: height mismatch, expected 25, got 100
Unsupported mixed text/element content	html/subgrid/subgrid_auto_track_sizing_min_content_text_runs.html	content_box_ltr	FAIL	artifact.box_children_replace_required_shaped_text	subgrid_auto_track_sizing_min_content_text_runs__content_box_ltr/0: height mismatch, expected 25, got 100
Unsupported mixed text/element content	html/subgrid/subgrid_auto_track_sizing_min_content_text_runs.html	content_box_rtl	FAIL	artifact.box_children_replace_required_shaped_text	subgrid_auto_track_sizing_min_content_text_runs__content_box_rtl/0: height mismatch, expected 25, got 100
Unsupported mixed text/element content	html/subgrid/subgrid_baseline_auto_columns_first_item.html	border_box_ltr	FAIL	adapter.grid_inline_text_missing_anonymous_box	subgrid_baseline_auto_columns_first_item__border_box_ltr: layout failed: LayoutErrorOf { site: Node(0), operation: RootLayout, kind: UnsupportedCapability(LaterFriBehavior) }
Unsupported mixed text/element content	html/subgrid/subgrid_baseline_auto_columns_first_item.html	border_box_rtl	FAIL	adapter.grid_inline_text_missing_anonymous_box	subgrid_baseline_auto_columns_first_item__border_box_rtl: layout failed: LayoutErrorOf { site: Node(0), operation: RootLayout, kind: UnsupportedCapability(LaterFriBehavior) }
Unsupported mixed text/element content	html/subgrid/subgrid_baseline_auto_columns_first_item.html	content_box_ltr	FAIL	adapter.grid_inline_text_missing_anonymous_box	subgrid_baseline_auto_columns_first_item__content_box_ltr: layout failed: LayoutErrorOf { site: Node(0), operation: RootLayout, kind: UnsupportedCapability(LaterFriBehavior) }
Unsupported mixed text/element content	html/subgrid/subgrid_baseline_auto_columns_first_item.html	content_box_rtl	FAIL	adapter.grid_inline_text_missing_anonymous_box	subgrid_baseline_auto_columns_first_item__content_box_rtl: layout failed: LayoutErrorOf { site: Node(0), operation: RootLayout, kind: UnsupportedCapability(LaterFriBehavior) }
Unsupported mixed text/element content	html/subgrid/subgrid_baseline_auto_columns_second_item.html	border_box_ltr	FAIL	adapter.grid_inline_text_missing_anonymous_box	subgrid_baseline_auto_columns_second_item__border_box_ltr: layout failed: LayoutErrorOf { site: Node(0), operation: RootLayout, kind: UnsupportedCapability(LaterFriBehavior) }
Unsupported mixed text/element content	html/subgrid/subgrid_baseline_auto_columns_second_item.html	border_box_rtl	FAIL	adapter.grid_inline_text_missing_anonymous_box	subgrid_baseline_auto_columns_second_item__border_box_rtl: layout failed: LayoutErrorOf { site: Node(0), operation: RootLayout, kind: UnsupportedCapability(LaterFriBehavior) }
Unsupported mixed text/element content	html/subgrid/subgrid_baseline_auto_columns_second_item.html	content_box_ltr	FAIL	adapter.grid_inline_text_missing_anonymous_box	subgrid_baseline_auto_columns_second_item__content_box_ltr: layout failed: LayoutErrorOf { site: Node(0), operation: RootLayout, kind: UnsupportedCapability(LaterFriBehavior) }
Unsupported mixed text/element content	html/subgrid/subgrid_baseline_auto_columns_second_item.html	content_box_rtl	FAIL	adapter.grid_inline_text_missing_anonymous_box	subgrid_baseline_auto_columns_second_item__content_box_rtl: layout failed: LayoutErrorOf { site: Node(0), operation: RootLayout, kind: UnsupportedCapability(LaterFriBehavior) }
Unsupported <br> outside block inline-run semantics	html/subgrid/subgrid_baseline_auto_rows_inner_row1_first.html	border_box_ltr	FAIL	artifact.atomic_marker_on_blockified_non_atomic	subgrid_baseline_auto_rows_inner_row1_first__border_box_ltr: layout failed: LayoutErrorOf { site: Node(4), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
Unsupported <br> outside block inline-run semantics	html/subgrid/subgrid_baseline_auto_rows_inner_row1_first.html	border_box_rtl	FAIL	artifact.atomic_marker_on_blockified_non_atomic	subgrid_baseline_auto_rows_inner_row1_first__border_box_rtl: layout failed: LayoutErrorOf { site: Node(4), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
Unsupported <br> outside block inline-run semantics	html/subgrid/subgrid_baseline_auto_rows_inner_row1_first.html	content_box_ltr	FAIL	artifact.atomic_marker_on_blockified_non_atomic	subgrid_baseline_auto_rows_inner_row1_first__content_box_ltr: layout failed: LayoutErrorOf { site: Node(4), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
Unsupported <br> outside block inline-run semantics	html/subgrid/subgrid_baseline_auto_rows_inner_row1_first.html	content_box_rtl	FAIL	artifact.atomic_marker_on_blockified_non_atomic	subgrid_baseline_auto_rows_inner_row1_first__content_box_rtl: layout failed: LayoutErrorOf { site: Node(4), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
Unsupported <br> outside block inline-run semantics	html/subgrid/subgrid_baseline_auto_rows_inner_row1_last.html	border_box_ltr	FAIL	artifact.atomic_marker_on_blockified_non_atomic	subgrid_baseline_auto_rows_inner_row1_last__border_box_ltr: layout failed: LayoutErrorOf { site: Node(4), operation: RootLayout, kind: InvalidInput(AtomicInlineParticipation { reason: UnexpectedForNonAtomic }) }
